Date,Time,Datetime,PM2.5,PM10,NO,NO2,NH3,SO2,CO,Ozone,WS,WD
1/1/2021,1:00:00,1/1/2021 1:00,472,648.5,264.82,66.25,46.58,16.42,3.88,3.35,0.3,192.52
1/1/2021,2:00:00,1/1/2021 2:00,498,660,267.5,54.35,45.67,12.55,3.95,4.45,0.3,192.7
1/1/2021,3:00:00,1/1/2021 3:00,511,663,272.1,56.85,33.3,11,3.5,4.3,0.3,192.83
1/1/2021,4:00:00,1/1/2021 4:00,496,652,217.25,48.98,40.05,11.18,3.1,3.3,0.3,192.8
1/1/2021,5:00:00,1/1/2021 5:00,449.5,605,222.38,52.92,43.65,10.57,2.8,3.35,0.3,186.1
1/1/2021,6:00:00,1/1/2021 6:00,434.5,598.5,238.65,52.75,42.7,11.32,2.72,3.55,0.3,177.4
1/1/2021,7:00:00,1/1/2021 7:00,423,579,261.05,52.8,43.88,11.38,2.9,3.58,0.3,177.12
1/1/2021,8:00:00,1/1/2021 8:00,416,566,289.1,56.77,41.85,15.32,3.22,4.12,0.3,174.07
1/1/2021,9:00:00,1/1/2021 9:00,453.5,667,271.48,93.22,46.62,16.65,3.45,6.2,0.28,150.18
1/1/2021,10:00:00,1/1/2021 10:00,533,769,125.95,137.48,49.6,14.28,3.05,6.2,0.25,133.23
1/1/2021,11:00:00,1/1/2021 11:00,601.75,797.75,25.4,147.62,55.38,15.25,2.55,15.85,0.23,134.73
1/1/2021,12:00:00,1/1/2021 12:00,651.25,827.25,9.95,102.5,49.73,14.5,1.95,35.42,0.23,122.7
1/1/2021,13:00:00,1/1/2021 13:00,577,712.75,4.25,67.85,49.95,22.73,1.62,58.8,0.2,124.2
1/1/2021,14:00:00,1/1/2021 14:00,404.75,512.75,3.88,48.62,49.77,20.05,1.43,61.38,0.23,139.52
1/1/2021,15:00:00,1/1/2021 15:00,274,356.5,3.3,41.58,46.88,15.65,1.15,65.15,0.25,105.7
1/1/2021,16:00:00,1/1/2021 16:00,221.25,288.5,2.55,46.75,45.08,17.73,0.6,66.88,0.25,146.52
1/1/2021,17:00:00,1/1/2021 17:00,249.5,345.25,2.22,56.5,45.5,16.07,0.97,53.55,0.28,143.93
1/1/2021,18:00:00,1/1/2021 18:00,288.25,406.5,2.65,66.53,46.3,16.25,1.07,27.43,0.28,122.28
1/1/2021,19:00:00,1/1/2021 19:00,293.5,421,49.7,93.72,48.52,15.53,2.22,5.25,0.3,165.48
1/1/2021,20:00:00,1/1/2021 20:00,407.25,547,48.9,86.5,54.92,14.75,3.1,4.75,0.3,111.15
1/1/2021,21:00:00,1/1/2021 21:00,518.75,680.5,96.88,87.2,53.88,14.32,4.03,5.88,0.3,89.72
1/1/2021,22:00:00,1/1/2021 22:00,591,774.5,145.55,84.62,56.2,14.32,4.28,4.6,0.28,116.05
1/1/2021,23:00:00,1/1/2021 23:00,583.5,766.25,120.83,79.68,58.8,16.38,4.28,4.38,0.3,85.38
1/2/2021,0:00:00,1/2/2021 0:00,620.25,810,91.57,71.17,59.33,17.2,3.65,4.83,0.28,94.77
1/2/2021,1:00:00,1/2/2021 1:00,553.75,712.75,47.15,63.45,58.35,16.27,2.38,4.32,0.3,98.5
1/2/2021,2:00:00,1/2/2021 2:00,438.75,537,22.82,54,57.1,13.9,1.6,4.05,0.3,119.75
1/2/2021,3:00:00,1/2/2021 3:00,350.75,435.5,43.2,57.55,38.45,12.45,1.45,3.6,0.3,143.12
1/2/2021,4:00:00,1/2/2021 4:00,363.5,468.25,69.08,63.48,44.17,13.75,1.38,3,0.28,134.78
1/2/2021,5:00:00,1/2/2021 5:00,374,474.75,45.62,59.65,49.45,13.15,1.25,3.65,0.3,93.82
1/2/2021,6:00:00,1/2/2021 6:00,369.25,458.5,36.58,62.9,48.1,13.33,1.17,4.42,0.28,134.85
1/2/2021,7:00:00,1/2/2021 7:00,386,473.25,50.15,64.05,52.18,13.6,1.57,4.35,0.3,193.65
1/2/2021,8:00:00,1/2/2021 8:00,403.5,503.25,28.4,64.32,51.5,11.43,1.88,5.17,0.28,135.8
1/2/2021,9:00:00,1/2/2021 9:00,409.75,526.75,27.43,58.42,50.08,10.8,1.82,5.03,0.2,157.35
1/2/2021,10:00:00,1/2/2021 10:00,376,512.5,19.77,62.88,49.2,11.53,1.73,6.3,0.28,124.47
1/2/2021,11:00:00,1/2/2021 11:00,367.25,476,15.85,62.7,49.33,12.22,1.73,9.75,0.23,117.5
1/2/2021,12:00:00,1/2/2021 12:00,363.5,459,8.58,59.67,49.3,14.15,1.5,22.32,0.23,126.15
1/2/2021,13:00:00,1/2/2021 13:00,331.75,435.25,5.03,44.55,48.25,15.25,1.23,41.15,0.2,126.63
1/2/2021,14:00:00,1/2/2021 14:00,252.25,353.25,3.5,40.35,44.42,15,0.82,47.42,0.23,147.35
1/2/2021,15:00:00,1/2/2021 15:00,180.5,275.5,3.12,45.2,42.52,16.32,0.83,51.73,0.25,130.97
1/2/2021,16:00:00,1/2/2021 16:00,190,303,2.78,54.3,41.73,21.27,0.78,38.58,0.2,100.62
1/2/2021,17:00:00,1/2/2021 17:00,196.75,316.5,4.7,63,41.6,21.75,0.78,26.53,0.23,132.4
1/2/2021,18:00:00,1/2/2021 18:00,210.5,365.25,10,78.28,43.08,19.52,1.12,9.72,0.25,140.8
1/2/2021,19:00:00,1/2/2021 19:00,250.75,443,11.88,70.35,44.58,18.05,1.6,7.05,0.28,132.6
1/2/2021,20:00:00,1/2/2021 20:00,274.25,437.25,15.1,69.5,47,16.75,2.15,4.72,0.28,151.9
1/2/2021,21:00:00,1/2/2021 21:00,294.5,426.25,16.52,60.92,49.5,16.8,2.32,4.53,0.3,166.9
1/2/2021,22:00:00,1/2/2021 22:00,299.75,417.5,35.65,59.95,49.73,15.65,2.3,3.38,0.3,151.52
1/2/2021,23:00:00,1/2/2021 23:00,301.5,409.5,58.78,59.92,50.15,16.93,2.1,3.9,0.3,185.12
1/3/2021,0:00:00,1/3/2021 0:00,297.5,411.75,65.4,59.98,53.05,20.65,1.72,3.65,0.28,175.9
1/3/2021,1:00:00,1/3/2021 1:00,279.5,444.25,29.65,55.3,50.75,16.6,1.52,1.6,0.25,174.72
